date,return
2019-08,-1.830895
2019-09,3.317201
2019-10,0.082675
2019-11,4.102993
2019-12,2.208700
2020-01,-0.634055
2020-02,-8.269304
2020-03,-11.286202
2020-04,9.425501
2020-05,2.135126
2020-06,2.405499
2020-07,-0.209723
2020-08,5.548548
2020-09,-0.942518
2020-10,-1.929781
2020-11,8.923201
2020-12,2.145276
2021-01,0.994848
2021-02,2.906481
2021-03,5.743324
2021-04,1.464012
2021-05,-0.121159
2021-06,4.378034
2021-07,0.750131
2021-08,2.925756
2021-09,-1.793176
2021-10,4.471416
2021-11,0.238337
2021-12,3.744798
2022-01,-4.564552
2022-02,-2.051234
2022-03,3.932984
2022-04,-2.280322
2022-05,-3.268960
2022-06,-5.947802
2022-07,9.110012
2022-08,-1.479379
2022-09,-6.068087
2022-10,3.514726
2022-11,1.406814
2022-12,-5.486599
2023-01,4.999447
2023-02,-0.021018
2023-03,0.231280
2023-04,-0.010483
2023-05,2.276301
2023-06,3.569234
2023-07,2.574766
2023-08,-0.946132
2023-09,-1.461988
2023-10,-3.481698
2023-11,5.697886
2023-12,3.820053
2024-01,2.857674
2024-02,3.704378
2024-03,3.554542
2024-04,-1.724722
2024-05,1.101169
2024-06,4.816205
2024-07,0.259782
2024-08,-0.388667
2024-09,1.772070
2024-10,0.814700
2024-11,6.607508
2024-12,-0.995836
2025-01,4.233598
2025-02,-2.189251
2025-03,-7.171260
2025-04,-3.918149
2025-05,6.059102
2025-06,1.011833
2025-07,4.715669
2025-08,-0.309049
2025-09,2.937711
2025-10,4.359663
2025-11,-0.480965
2025-12,0.400443
2026-01,1.237796
2026-02,1.766069
2026-03,-5.339741
2026-04,8.560146
