date,return
2009-10,-2.766329
2009-11,2.058112
2009-12,7.176744
2010-01,-0.719420
2010-02,2.452612
2010-03,6.964095
2010-04,2.187184
2010-05,-2.687909
2010-06,-2.762143
2010-07,1.052072
2010-08,-1.015095
2010-09,1.472525
2010-10,1.425238
2010-11,4.445584
2010-12,4.549904
2011-01,-0.187183
2011-02,2.625408
2011-03,-3.791685
2011-04,-0.213676
2011-05,0.856533
2011-06,-2.193914
2011-07,-0.651231
2011-08,-7.113378
2011-09,-1.855722
2011-10,6.178428
2011-11,0.250821
2011-12,3.977984
2012-01,3.777670
2012-02,2.944587
2012-03,1.734227
2012-04,-0.841260
2012-05,-2.522887
2012-06,2.588184
2012-07,4.710874
2012-08,0.618331
2012-09,-0.127140
2012-10,-1.400382
2012-11,0.839250
2012-12,-0.810928
2013-01,3.592948
2013-02,3.759081
2013-03,4.383512
2013-04,0.383503
2013-05,2.578801
2013-06,-3.258845
2013-07,3.368624
2013-08,-2.309128
2013-09,2.935572
2013-10,3.777779
2013-11,1.249109
2013-12,0.599225
2014-01,-1.804489
2014-02,3.175741
2014-03,0.017289
2014-04,0.363069
2014-05,3.652022
2014-06,1.562244
2014-07,0.867286
2014-08,3.617780
2014-09,1.878818
2014-10,1.183336
2014-11,2.825031
2014-12,1.521428
2015-01,5.077837
2015-02,6.327886
2015-03,3.034252
2015-04,-1.706277
2015-05,1.710173
2015-06,-3.615677
2015-07,3.029912
2015-08,-8.084030
2015-09,-3.490300
2015-10,9.500578
2015-11,3.931848
2015-12,-4.388403
2016-01,-6.436293
2016-02,0.239637
2016-03,1.209395
2016-04,0.194525
2016-05,4.077108
2016-06,-1.105932
2016-07,3.920771
2016-08,0.285234
2016-09,0.064645
2016-10,0.529711
2016-11,5.423469
2016-12,2.474703
2017-01,-0.582914
2017-02,5.013764
2017-03,0.478576
2017-04,-0.691768
2017-05,-1.084843
2017-06,-0.992843
2017-07,-0.792911
2017-08,-0.834508
2017-09,2.927573
2017-10,3.558273
2017-11,-0.344710
2017-12,0.825706
2018-01,1.538291
2018-02,-1.874661
2018-03,-3.543266
2018-04,3.811614
2018-05,3.627284
2018-06,0.203385
2018-07,2.446321
2018-08,1.981232
2018-09,0.664615
2018-10,-4.875567
2018-11,0.427124
2018-12,-7.921323
2019-01,7.390302
2019-02,3.956990
2019-03,2.472072
2019-04,3.653985
2019-05,-4.771644
2019-06,3.896101
2019-07,3.641737
2019-08,-1.690414
2019-09,3.284391
2019-10,-0.130938
2019-11,4.401578
2019-12,0.663794
2020-01,1.033680
2020-02,-8.652318
2020-03,-10.900841
2020-04,9.482011
2020-05,2.484413
2020-06,1.796408
2020-07,-0.265653
2020-08,5.831428
2020-09,-1.195507
2020-10,-2.629184
2020-11,9.464641
2020-12,1.724135
2021-01,0.637693
2021-02,3.084873
2021-03,6.227756
2021-04,1.994831
2021-05,-0.350852
2021-06,4.741929
2021-07,1.995418
2021-08,2.910030
2021-09,-1.880618
2021-10,5.201393
2021-11,0.765719
2021-12,3.478554
2022-01,-5.045582
2022-02,-1.933468
2022-03,4.833776
2022-04,-2.645916
2022-05,-3.423927
2022-06,-6.325009
2022-07,10.220164
2022-08,-2.050910
2022-09,-5.469915
2022-10,4.386715
2022-11,0.324856
2022-12,-5.911117
2023-01,5.132895
2023-02,0.647717
2023-03,0.152239
2023-04,0.262561
2023-05,2.473983
2023-06,3.826498
2023-07,2.325278
2023-08,-0.576015
2023-09,-1.585284
2023-10,-3.383359
2023-11,5.751588
2023-12,3.672282
2024-01,3.841452
2024-02,3.722874
2024-03,3.702653
2024-04,-2.044948
2024-05,1.222441
2024-06,4.985116
2024-07,0.210103
2024-08,-0.324979
2024-09,1.351489
2024-10,1.229705
2024-11,7.462838
2024-12,-0.639128
2025-01,3.859444
2025-02,-2.528194
2025-03,-7.890369
2025-04,-3.907334
2025-05,6.369870
2025-06,0.876349
2025-07,4.783066
2025-08,-0.328776
2025-09,2.514586
2025-10,4.257603
2025-11,-0.344413
2025-12,0.116694
2026-01,0.591772
2026-02,1.234508
2026-03,-4.860222
2026-04,8.329092
