date,return
1871-02,-1.178108
1871-03,1.423050
1871-04,7.202589
1871-05,5.383646
1871-06,1.191959
1871-07,-1.417704
1871-08,3.353833
1871-09,-0.882459
1871-10,-6.183197
1871-11,1.561365
1871-12,0.306868
1872-01,2.994550
1872-02,0.868827
1872-03,2.203203
1872-04,0.985083
1872-05,0.445142
1872-06,0.211518
1872-07,1.355350
1872-08,-1.438246
1872-09,-2.026757
1872-10,3.157191
1872-11,-2.806827
1872-12,4.443272
1873-01,1.286160
1873-02,-0.905568
1873-03,-0.279126
1873-04,-0.864318
1873-05,2.936598
1873-06,2.137694
1873-07,0.330489
1873-08,0.536553
1873-09,-7.105131
1873-10,-5.988077
1873-11,0.177659
1873-12,7.506678
1874-01,4.420819
1874-02,3.594421
1874-03,-0.885417
1874-04,-0.638714
1874-05,-1.239141
1874-06,2.590627
1874-07,-0.188505
1874-08,1.654207
1874-09,2.181208
1874-10,2.031470
1874-11,2.328284
1874-12,-0.054705
1875-01,0.601138
1875-02,0.376285
1875-03,1.917770
1875-04,1.053550
1875-05,-0.864392
1875-06,0.258474
1875-07,0.822869
1875-08,0.188284
1875-09,0.525400
1875-10,-1.020214
1875-11,3.095485
1875-12,1.446803
1876-01,3.532044
1876-02,1.905830
1876-03,0.331858
1876-04,-2.359129
1876-05,0.444941
1876-06,2.707776
1876-07,-0.602410
1876-08,-4.438299
1876-09,-6.346188
1876-10,-1.684750
1876-11,-2.116197
1876-12,-1.633841
1877-01,-1.897030
1877-02,-2.716591
1877-03,0.057059
1877-04,-9.111436
1877-05,-1.078428
1877-06,-1.152685
1877-07,4.132795
1877-08,11.862147
1877-09,7.871281
1877-10,2.696245
1877-11,0.970317
1877-12,0.178937
1878-01,3.593570
1878-02,-0.647428
1878-03,4.556857
1878-04,4.368508
1878-05,4.123853
1878-06,4.887716
1878-07,1.351952
1878-08,-1.529772
1878-09,2.469807
1878-10,0.409693
1878-11,1.282874
1878-12,2.178621
1879-01,3.008977
1879-02,2.875244
1879-03,-0.065861
1879-04,4.920154
1879-05,4.925508
1879-06,2.096486
1879-07,1.232797
1879-08,1.141295
1879-09,0.576549
1879-10,5.369054
1879-11,0.356656
1879-12,-2.809706
1880-01,1.231007
1880-02,2.103718
1880-03,1.303459
1880-04,1.928089
1880-05,-4.751884
1880-06,2.900328
1880-07,5.001740
1880-08,3.992016
1880-09,-0.821963
1880-10,3.297941
1880-11,4.584558
1880-12,3.440963
1881-01,7.445969
1881-02,-0.960221
1881-03,1.505943
1881-04,-0.936575
1881-05,5.931596
1881-06,1.602564
1881-07,-4.080409
1881-08,-3.872421
1881-09,-2.567370
1881-10,-2.101792
1881-11,2.022078
1881-12,-2.477114
1882-01,-1.053799
1882-02,-2.655446
1882-03,0.287853
1882-04,-0.460490
1882-05,-1.651407
1882-06,-0.958939
1882-07,7.068063
1882-08,2.512320
1882-09,4.218884
1882-10,-1.383708
1882-11,-2.936721
1882-12,1.936376
1883-01,-0.055936
1883-02,-2.702150
1883-03,2.673542
1883-04,3.541820
1883-05,-0.284327
1883-06,4.375769
1883-07,0.939302
1883-08,-4.062391
1883-09,2.643426
1883-10,-2.217752
1883-11,3.058682
1883-12,-2.706952
1884-01,-2.483926
1884-02,3.228282
1884-03,0.133145
1884-04,-1.999780
1884-05,-5.584861
1884-06,-3.512545
1884-07,1.687444
1884-08,6.869768
1884-09,-1.540328
1884-10,-1.617820
1884-11,0.797452
1884-12,1.517831
1885-01,-1.720046
1885-02,2.474213
1885-03,3.130975
1885-04,-0.836146
1885-05,1.730008
1885-06,2.478765
1885-07,3.001712
1885-08,6.097347
1885-09,0.376607
1885-10,6.257527
1885-11,5.647593
1885-12,-2.698274
1886-01,2.771820
1886-02,2.302404
1886-03,-0.521768
1886-04,0.233527
1886-05,0.884575
1886-06,6.292180
1886-07,0.612567
1886-08,-0.143239
1886-09,2.956238
1886-10,2.878554
1886-11,2.804867
1886-12,-3.465859
1887-01,-3.098513
1887-02,-1.552857
1887-03,2.688779
1887-04,2.630805
1887-05,2.058190
1887-06,-1.389267
1887-07,-0.918391
1887-08,-3.311554
1887-09,0.280145
1887-10,-4.121341
1887-11,1.115907
1887-12,-2.467911
1888-01,0.001961
1888-02,0.969808
1888-03,-3.401199
1888-04,1.965068
1888-05,2.964588
1888-06,-1.549649
1888-07,1.779480
1888-08,2.523833
1888-09,2.849206
1888-10,-1.356606
1888-11,-2.825344
1888-12,-1.542621
1889-01,5.971437
1889-02,2.731040
1889-03,-0.519160
1889-04,0.171323
1889-05,5.642591
1889-06,2.044173
1889-07,-1.687924
1889-08,1.671855
1889-09,1.497483
1889-10,-1.482273
1889-11,-0.585185
1889-12,-1.434966
1890-01,4.009226
1890-02,-0.774473
1890-03,-0.407268
1890-04,2.430556
1890-05,3.315912
1890-06,-0.385528
1890-07,-0.388292
1890-08,-5.515113
1890-09,-2.485635
1890-10,-4.166667
1890-11,-4.679758
1890-12,-1.946214
1891-01,6.903988
1891-02,0.394095
1891-03,-2.635592
1891-04,2.487421
1891-05,1.156586
1891-06,0.748938
1891-07,-0.052562
1891-08,3.738644
1891-09,9.841465
1891-10,0.343965
1891-11,0.094250
1891-12,3.396825
1892-01,4.844194
1892-02,0.519208
1892-03,4.131324
1892-04,1.512903
1892-05,0.341562
1892-06,-0.194494
1892-07,-2.292319
1892-08,0.473028
1892-09,-2.142645
1892-10,2.367245
1892-11,-2.534101
1892-12,-1.959201
1893-01,-1.514179
1893-02,-2.596972
1893-03,-0.903582
1893-04,1.621154
1893-05,-7.323891
1893-06,-1.877179
1893-07,-6.485431
1893-08,2.130999
1893-09,3.365430
1893-10,2.104903
1893-11,4.737474
1893-12,-1.734975
1894-01,1.159381
1894-02,3.292770
1894-03,6.422453
1894-04,1.767738
1894-05,-3.294493
1894-06,-0.928030
1894-07,-1.638441
1894-08,1.267285
1894-09,0.586383
1894-10,0.057445
1894-11,0.409562
1894-12,0.923258
1895-01,-0.759109
1895-02,-1.006471
1895-03,0.407717
1895-04,0.337855
1895-05,4.426204
1895-06,0.931258
1895-07,2.157569
1895-08,3.244694
1895-09,0.965553
1895-10,-1.118084
1895-11,-3.032105
1895-12,-4.207006
1896-01,0.624864
1896-02,6.098563
1896-03,-1.221910
1896-04,2.757751
1896-05,1.388880
1896-06,0.025036
1896-07,-6.126157
1896-08,-5.314975
1896-09,5.648513
1896-10,-0.396288
1896-11,4.134002
1896-12,-3.310502
1897-01,3.307063
1897-02,-0.592417
1897-03,0.598086
1897-04,-1.293004
1897-05,2.390207
1897-06,5.024510
1897-07,4.800937
1897-08,2.193376
1897-09,2.195720
1897-10,-1.524620
1897-11,-3.215768
1897-12,2.473118
1898-01,3.055614
1898-02,-1.301930
1898-03,-4.200890
1898-04,-1.385842
1898-05,-0.125514
1898-06,11.566470
1898-07,2.149749
1898-08,4.057251
1898-09,0.118596
1898-10,-1.779626
1898-11,3.621845
1898-12,5.016007
1899-01,7.906785
1899-02,1.208425
1899-03,1.693740
1899-04,0.142959
1899-05,-3.904064
1899-06,-3.286324
1899-07,2.377097
1899-08,1.486768
1899-09,-4.537789
1899-10,-1.430515
1899-11,0.921725
1899-12,-7.666309
1900-01,1.629983
1900-02,0.895112
1900-03,1.117150
1900-04,1.597444
1900-05,-2.075013
1900-06,-1.426147
1900-07,-0.850816
1900-08,3.005355
1900-09,-3.163153
1900-10,5.314543
1900-11,8.225874
1900-12,7.734310
1901-01,2.002206
1901-02,4.189696
1901-03,3.936782
1901-04,10.105508
1901-05,-4.721233
1901-06,10.295386
1901-07,-7.570333
1901-08,0.460675
1901-09,-1.388491
1901-10,-0.795104
1901-11,1.249716
1901-12,-2.454072
1902-01,3.709206
1902-02,1.192221
1902-03,0.450244
1902-04,2.508213
1902-05,-1.094743
1902-06,-1.430370
1902-07,2.582045
